integration intervals,  MPI procs,  cpu time,  precision
1441440,  4,  0.32474883017130196E-001,  0.34679043636742790E-006
14414400,  4,  0.23897463298635557,  0.34684989991262682E-007
144144000,  4,  1.9791300430078991,  0.34687146488465714E-008
1441440000,  4,  18.354792674013879,  0.34677150040351989E-009
14414400000,  4,  167.73783323599491,  0.32076297173944113E-009
integration intervals,  MPI procs,  cpu time,  precision
1441440,  4,  0.20164829969871789E-001,  0.34679043636742790E-006
14414400,  4,  0.20104270800948143,  0.34684989991262682E-007
144144000,  4,  1.9838611549930647,  0.34687146488465714E-008
1441440000,  4,  18.700235265016090,  0.34677150040351989E-009
14414400000,  4,  188.74523939599749,  0.32076297173944113E-009
