integration intervals,  MPI procs,  cpu time,  precision
1441440,  4,  .18474911339581013E-002,  .13868218742274507E-005
14414400,  4,  .16739061102271080E-001,  .13872873338982572E-006
144144000,  4,  .15888403402641416,  .13873765247751635E-007
1441440000,  4,  1.5451608942821622,  .13875363080728675E-008
14414400000,  4,  15.497747660148889,  .13836798373745296E-009
integration intervals,  MPI procs,  cpu time,  precision
1441440,  32,  .51240199245512486E-002,  .13868218617929529E-005
14414400,  32,  .22754860110580921E-002,  .13872865434194637E-006
144144000,  32,  .22734195925295353E-001,  .13874308368855282E-007
1441440000,  32,  .22676117531955242,  .13875212090397326E-008
14414400000,  32,  2.2655570199713111,  .13882850424806747E-009
