integration intervals,  MPI procs,  cpu time,  precision
1441440,  4,  .66500911489129066E-002,  .34679043636742790E-006
14414400,  4,  .63638462219387293E-001,  .34684989991262682E-007
144144000,  4,  .62078049592673779,  .34687146488465714E-008
1441440000,  4,  6.2101000919938087,  .34677150040351989E-009
14414400000,  4,  57.363976321183145,  .32076297173944113E-009
integration intervals,  MPI procs,  cpu time,  precision
1441440,  32,  .78214453533291817E-002,  .43355670165112770E-007
14414400,  32,  .72603954002261162E-001,  .43358787671365917E-008
144144000,  32,  .72495865682139993,  .43359360546446624E-009
1441440000,  32,  7.2467443337664008,  .43566039664710843E-010
14414400000,  32,  58.879744758829474,  .65428551465629425E-010
