HAWAIAN AIRLINES - 1998 DAILY CLOSES                                            

     THE VALUE OF Q IS:   0.10040E+01
     THE VALUE OF R IS:   0.20500E+00
     THE FILTER LENGTH IS:      5
     THE PREDICTION LENGTH IS:      1
     THE BASELINE VALUE IS:   0.00000E+00
     THE TEST FACTOR VALUE IS:   0.10100E+01


      I      TRUE_X        PRED_X        ERROR            Q             R   
      1   0.36875E+01   0.00000E+00   0.36875E+01   0.10040E+01   0.20500E+00
      2   0.36250E+01   0.00000E+00   0.36250E+01   0.10040E+01   0.20500E+00
      3   0.36250E+01   0.35458E+01   0.79212E-01   0.10040E+01   0.20500E+00
      4   0.36250E+01   0.36237E+01   0.13130E-02   0.10040E+01   0.20500E+00
      5   0.35625E+01   0.36250E+01  -0.62484E-01   0.10040E+01   0.20500E+00
      6   0.36250E+01   0.35019E+01   0.12305E+00   0.10040E+01   0.20500E+00
      7   0.36250E+01   0.36841E+01  -0.59084E-01   0.10040E+01   0.20500E+00
      8   0.36250E+01   0.36261E+01  -0.11217E-02   0.10976E+00   0.18752E+01
      9   0.37500E+01   0.36258E+01   0.12418E+00   0.10976E+00   0.18752E+01
     10   0.36250E+01   0.38701E+01  -0.24507E+00   0.95938E-02   0.21453E+02
     11   0.36250E+01   0.36883E+01  -0.63348E-01   0.52685E-07   0.39066E+07
     12   0.33750E+01   0.36988E+01  -0.32378E+00   0.13625E-12   0.15106E+13
     13   0.33750E+01   0.33594E+01   0.15642E-01   0.13625E-12   0.15106E+13
     14   0.33125E+01   0.32749E+01   0.37630E-01   0.13625E-12   0.15106E+13
     15   0.33750E+01   0.31933E+01   0.18173E+00   0.13625E-12   0.15106E+13
     16   0.33750E+01   0.32920E+01   0.83014E-01   0.13625E-12   0.15106E+13
     17   0.33750E+01   0.33976E+01  -0.22629E-01   0.13625E-12   0.15106E+13
     18   0.34375E+01   0.34235E+01   0.13992E-01   0.13625E-12   0.15106E+13
     19   0.33750E+01   0.35130E+01  -0.13799E+00   0.13625E-12   0.15106E+13
     20   0.34375E+01   0.34261E+01   0.11437E-01   0.13625E-12   0.15106E+13
     21   0.31875E+01   0.35017E+01  -0.31423E+00   0.13625E-12   0.15106E+13
     22   0.31250E+01   0.32005E+01  -0.75530E-01   0.13625E-12   0.15106E+13
     23   0.28750E+01   0.30778E+01  -0.20278E+00   0.13625E-12   0.15106E+13
     24   0.26250E+01   0.27310E+01  -0.10597E+00   0.13625E-12   0.15106E+13
     25   0.27500E+01   0.23896E+01   0.36037E+00   0.13625E-12   0.15106E+13
     26   0.28750E+01   0.25389E+01   0.33609E+00   0.13625E-12   0.15106E+13
     27   0.29375E+01   0.27095E+01   0.22797E+00   0.13625E-12   0.15106E+13
     28   0.30000E+01   0.29868E+01   0.13150E-01   0.13625E-12   0.15106E+13
     29   0.32500E+01   0.31931E+01   0.56875E-01   0.13625E-12   0.15106E+13
     30   0.34375E+01   0.34350E+01   0.25417E-02   0.13625E-12   0.15106E+13
     31   0.36875E+01   0.36517E+01   0.35823E-01   0.13625E-12   0.15106E+13
     32   0.36250E+01   0.40036E+01  -0.37861E+00   0.13625E-12   0.15106E+13
     33   0.36250E+01   0.39628E+01  -0.33785E+00   0.13625E-12   0.15106E+13
     34   0.35000E+01   0.38761E+01  -0.37614E+00   0.13625E-12   0.15106E+13
     35   0.33750E+01   0.35950E+01  -0.22002E+00   0.13625E-12   0.15106E+13
     36   0.32500E+01   0.33269E+01  -0.76898E-01   0.13625E-12   0.15106E+13
     37   0.33125E+01   0.31535E+01   0.15895E+00   0.13625E-12   0.15106E+13
     38   0.34375E+01   0.31882E+01   0.24934E+00   0.13625E-12   0.15106E+13
     39   0.35000E+01   0.33864E+01   0.11359E+00   0.13625E-12   0.15106E+13
     40   0.35000E+01   0.35734E+01  -0.73369E-01   0.13625E-12   0.15106E+13
     41   0.34375E+01   0.36628E+01  -0.22531E+00   0.13625E-12   0.15106E+13
     42   0.34375E+01   0.35601E+01  -0.12257E+00   0.13625E-12   0.15106E+13
     43   0.34375E+01   0.34833E+01  -0.45751E-01   0.13625E-12   0.15106E+13
     44   0.35000E+01   0.34398E+01   0.60193E-01   0.13625E-12   0.15106E+13
     45   0.36250E+01   0.35215E+01   0.10349E+00   0.13625E-12   0.15106E+13
     46   0.35000E+01   0.37050E+01  -0.20503E+00   0.13625E-12   0.15106E+13
     47   0.35000E+01   0.36020E+01  -0.10197E+00   0.13625E-12   0.15106E+13
     48   0.35000E+01   0.35997E+01  -0.99696E-01   0.13625E-12   0.15106E+13
     49   0.35000E+01   0.35206E+01  -0.20590E-01   0.13625E-12   0.15106E+13
     50   0.34375E+01   0.34855E+01  -0.47959E-01   0.13625E-12   0.15106E+13
     51   0.35000E+01   0.34682E+01   0.31759E-01   0.13625E-12   0.15106E+13
     52   0.34375E+01   0.35278E+01  -0.90318E-01   0.13625E-12   0.15106E+13
     53   0.33750E+01   0.34521E+01  -0.77147E-01   0.13625E-12   0.15106E+13
     54   0.34375E+01   0.33938E+01   0.43731E-01   0.13625E-12   0.15106E+13
     55   0.33125E+01   0.34548E+01  -0.14232E+00   0.13625E-12   0.15106E+13
     56   0.33125E+01   0.32897E+01   0.22836E-01   0.13625E-12   0.15106E+13
     57   0.33750E+01   0.33182E+01   0.56787E-01   0.13625E-12   0.15106E+13
     58   0.33750E+01   0.33755E+01  -0.50562E-03   0.13625E-12   0.15106E+13
     59   0.33750E+01   0.33801E+01  -0.50633E-02   0.13625E-12   0.15106E+13
     60   0.33125E+01   0.34509E+01  -0.13836E+00   0.13625E-12   0.15106E+13
     61   0.34375E+01   0.33692E+01   0.68344E-01   0.13625E-12   0.15106E+13
     62   0.34375E+01   0.34733E+01  -0.35801E-01   0.13625E-12   0.15106E+13
     63   0.33125E+01   0.34819E+01  -0.16938E+00   0.13625E-12   0.15106E+13
     64   0.33750E+01   0.33800E+01  -0.50249E-02   0.13625E-12   0.15106E+13
     65   0.35000E+01   0.34350E+01   0.64956E-01   0.13625E-12   0.15106E+13
     66   0.33125E+01   0.35043E+01  -0.19183E+00   0.13625E-12   0.15106E+13
     67   0.33125E+01   0.33489E+01  -0.36420E-01   0.13625E-12   0.15106E+13
     68   0.33125E+01   0.33890E+01  -0.76506E-01   0.13625E-12   0.15106E+13
     69   0.33750E+01   0.32938E+01   0.81195E-01   0.13625E-12   0.15106E+13
     70   0.32500E+01   0.33404E+01  -0.90375E-01   0.13625E-12   0.15106E+13
     71   0.32500E+01   0.32909E+01  -0.40929E-01   0.13625E-12   0.15106E+13
     72   0.32500E+01   0.32823E+01  -0.32345E-01   0.13625E-12   0.15106E+13
     73   0.33750E+01   0.32404E+01   0.13463E+00   0.13625E-12   0.15106E+13
     74   0.33125E+01   0.33764E+01  -0.63923E-01   0.13625E-12   0.15106E+13
     75   0.31875E+01   0.33839E+01  -0.19638E+00   0.13625E-12   0.15106E+13
     76   0.31875E+01   0.32599E+01  -0.72401E-01   0.13625E-12   0.15106E+13
     77   0.31250E+01   0.31996E+01  -0.74560E-01   0.13625E-12   0.15106E+13
     78   0.31875E+01   0.30505E+01   0.13696E+00   0.13625E-12   0.15106E+13
     79   0.30000E+01   0.31570E+01  -0.15703E+00   0.13625E-12   0.15106E+13
     80   0.28750E+01   0.29922E+01  -0.11723E+00   0.13625E-12   0.15106E+13
     81   0.28750E+01   0.28373E+01   0.37744E-01   0.13625E-12   0.15106E+13
     82   0.30000E+01   0.27819E+01   0.21814E+00   0.13625E-12   0.15106E+13
